plate_score,region_score,start_direction,end_direction,hour,is_weekend,month,daily_visits,lag_7,lag_14,lag_30,rolling_7,is_holiday,is_long_weekend,is_local,days_since_first_visit,client_lifetime_visits,client_active_days_last_30d,client_weekend_frac_last_90d,avg_gap_days,std_gap_days,is_weekly_visitor,is_monthly_visitor,daily_visits
0.988,0.765,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.948,0.182,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
1.0,0.927,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,1,1.0,1.0,1.0,1.0,0.0,1,0,3374.0
0.828,0.824,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.828,0.458,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.961,0.759,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.996,0.871,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.972,0.454,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.998,0.897,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.998,0.869,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.977,0.682,165.0,,20,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,5.0,2.0,0.0,2.0,1.0,1,0,3374.0
